Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1054,2025-10-26,2025-11-02,CUST130,Katherine Martin,Home Office,PROD2909,Sofa,Furniture,South,Michigan,Joneshaven,2,3830,5,7277.0,4431.91,2845.09,Credit Card,Pending,Reyes Group,wattsholly@wade-malone.com,48,No,0
ORD1055,2024-02-06,2024-02-09,CUST353,Rachel Koch,Consumer,PROD3726,File Folder,Office Supplies,South,Minnesota,Lisamouth,1,3026,0,3026.0,2018.33,1007.67,Cash,Cancelled,"Spencer, Turner and Anderson",sonya23@gordon.com,47,No,0
ORD1056,2025-10-18,2025-10-22,CUST212,Matthew Vaughn,Corporate,PROD6841,Office Chair,Furniture,South,Kansas,New Joseph,10,4834,5,45923.0,41169.31,4753.69,UPI,Cancelled,"Larson, Castillo and Gutierrez",claireyoung@elliott.info,32,No,0
ORD1057,2025-03-03,2025-03-08,CUST305,Xavier Harrison,Consumer,PROD5476,Calculator,Office Supplies,West,Oklahoma,East Dannystad,7,319,10,2009.7,1736.28,273.42,Credit Card,Returned,Skinner LLC,becky41@reed-kelly.info,21,No,0
ORD1058,2025-05-17,2025-05-19,CUST614,Julie Watson,Home Office,PROD3097,Calculator,Office Supplies,North,West Virginia,Lake Brandon,1,1079,5,1025.05,629.88,395.17,Credit Card,Pending,"Rogers, Owens and Brown",oneilllisa@nichols.com,4,Yes,45
ORD1059,2025-11-03,2025-11-08,CUST430,Curtis Woods,Home Office,PROD3239,Calculator,Office Supplies,North,Mississippi,West Jose,3,3614,0,10842.0,8706.67,2135.33,Cash,Cancelled,Parks-Mcdonald,egarcia@soto-sanders.com,15,No,0
ORD1060,2025-11-03,2025-11-04,CUST881,Andrew Williams,Corporate,PROD2514,Notebook,Office Supplies,East,Arizona,Martinezfurt,5,3815,5,18121.25,10919.8,7201.45,Credit Card,Pending,Gill LLC,nicole52@wagner-newton.net,40,No,0
ORD1061,2024-06-25,2024-06-28,CUST234,Nicholas Villarreal,Consumer,PROD6887,File Folder,Office Supplies,West,Oklahoma,Jenniferhaven,9,1657,15,12676.05,9038.86,3637.19,Cash,Pending,Gray-Watson,donna34@hodge.biz,46,No,0
ORD1062,2025-09-16,2025-09-23,CUST123,Christopher Powell,Home Office,PROD6701,Keyboard,Electronics,West,Arkansas,West Jeremy,5,4923,15,20922.75,17072.25,3850.5,Credit Card,Cancelled,Richard Inc,katievillegas@diaz.org,13,No,0
ORD1063,2024-03-21,2024-03-24,CUST301,Kimberly Ruiz,Corporate,PROD2424,Dining Table,Furniture,North,Missouri,North Jared,5,148,20,592.0,421.11,170.89,Net Banking,Cancelled,"Sheppard, Cherry and Dorsey",nunezbrian@moore.com,34,No,0
ORD1064,2025-11-05,2025-11-06,CUST390,Christina Tran,Corporate,PROD9817,Stapler,Office Supplies,South,Minnesota,Greenberg,7,3777,15,22473.15,17734.1,4739.05,Net Banking,Pending,Hood-Hansen,jerry60@edwards.com,8,Yes,43
ORD1065,2024-03-21,2024-03-22,CUST223,Mrs. Amanda Goodman,Home Office,PROD5399,File Folder,Office Supplies,North,New Mexico,West Brittanyshire,10,750,0,7500.0,5604.66,1895.34,Net Banking,Pending,Pham-Jones,zevans@lopez-lucas.net,6,Yes,23
ORD1066,2024-05-18,2024-05-25,CUST737,Michael Bell,Corporate,PROD3242,File Folder,Office Supplies,West,Utah,Shanemouth,7,2724,5,18114.6,12201.07,5913.53,Credit Card,Delivered,Vincent-Berry,rzavala@chavez-rivera.info,16,No,0
ORD1067,2025-04-17,2025-04-20,CUST592,Terry Garrett,Home Office,PROD6015,Laptop,Electronics,West,Iowa,Jessicachester,10,1108,0,11080.0,9053.53,2026.47,Net Banking,Cancelled,Lawson-Peterson,denisegreer@boone.com,12,No,0
ORD1068,2024-04-23,2024-04-30,CUST595,Tyler Escobar,Home Office,PROD2766,Study Table,Furniture,North,Illinois,North Johnbury,3,244,5,695.4,589.22,106.18,Net Banking,Cancelled,Fisher-Smith,paulkemp@thomas.com,16,No,0
ORD1069,2024-11-21,2024-11-26,CUST735,William Mason,Consumer,PROD3369,Rice Bag,Grocery,West,Tennessee,Port Ashleyberg,2,2408,20,3852.8,3212.06,640.74,Credit Card,Delivered,"King, Rosario and Smith",katherinejohnson@patterson.net,15,No,0
ORD1070,2024-01-04,2024-01-10,CUST850,Katie Middleton,Consumer,PROD8186,Sugar,Grocery,West,Colorado,Connerfurt,6,3257,20,15633.6,11615.13,4018.47,Credit Card,Delivered,Foster-Mitchell,jennifercook@smith.biz,31,No,0
ORD1071,2025-07-26,2025-07-30,CUST949,Anthony West,Corporate,PROD5636,Snacks,Grocery,North,New Jersey,Carolfort,4,4882,5,18551.6,14518.59,4033.01,UPI,Pending,Warren LLC,joseph40@hernandez.info,36,No,0
ORD1072,2024-08-31,2024-09-07,CUST398,Charles Barker,Consumer,PROD8722,Rice Bag,Grocery,West,Maine,Kellyton,1,364,0,364.0,257.83,106.17,Net Banking,Pending,Solomon Inc,hjones@harris.com,19,No,0
ORD1073,2024-07-05,2024-07-09,CUST950,Richard Hampton,Consumer,PROD6349,Rice Bag,Grocery,North,Pennsylvania,West Andrew,8,1749,20,11193.6,8969.35,2224.25,UPI,Cancelled,Mitchell-Contreras,mejiaamber@sanford-hernandez.info,27,No,0
ORD1074,2024-05-24,2024-05-30,CUST607,Paige Walters,Consumer,PROD4472,Dining Table,Furniture,South,South Dakota,Susanmouth,8,314,0,2512.0,2090.17,421.83,Credit Card,Returned,Bell-Miller,michael86@reyes-cobb.org,31,No,0
ORD1075,2024-08-12,2024-08-19,CUST811,Colleen Ward,Corporate,PROD2101,Rice Bag,Grocery,East,Vermont,New Teresaville,6,3551,5,20240.7,16500.96,3739.74,Cash,Pending,Murphy-Jones,heather24@garcia-soto.info,44,No,0
ORD1076,2025-07-27,2025-07-31,CUST313,Ronnie Johnson,Consumer,PROD3504,Calculator,Office Supplies,North,Delaware,Baileyport,8,4469,15,30389.2,25136.94,5252.26,Cash,Pending,Underwood-Campbell,pamelabridges@nelson.com,9,Yes,35
ORD1077,2025-07-03,2025-07-06,CUST635,Samantha Hunt,Corporate,PROD9950,Sofa,Furniture,West,Oklahoma,Port Alicia,5,780,5,3705.0,2794.22,910.78,Cash,Pending,"Miller, Romero and Cuevas",lfreeman@phillips.com,26,No,0
ORD1078,2024-09-14,2024-09-18,CUST801,Kari Clark,Consumer,PROD5310,Juice Pack,Grocery,West,Tennessee,Pettyland,4,3646,15,12396.4,10447.15,1949.25,UPI,Pending,Armstrong Inc,thompsonalex@rivera.info,32,No,0
ORD1079,2025-04-29,2025-05-03,CUST468,Jennifer Moore,Home Office,PROD4972,Pen,Office Supplies,East,Vermont,Brownborough,2,4357,5,8278.3,6741.48,1536.82,UPI,Delivered,Diaz-Heath,davidjohnson@padilla.org,26,No,0
ORD1080,2024-04-02,2024-04-04,CUST530,Monica Chapman,Home Office,PROD6142,Office Chair,Furniture,East,Nevada,West Gregory,3,3033,10,8189.1,5970.55,2218.55,Net Banking,Returned,Stout and Sons,fwilliams@booker.com,24,No,0
ORD1081,2024-08-14,2024-08-20,CUST133,Robert Kim,Corporate,PROD9445,Dining Table,Furniture,North,Kentucky,North Michaelfort,4,956,20,3059.2,2157.56,901.64,UPI,Cancelled,"Pace, Vance and Taylor",fhoover@kaiser.biz,45,No,0
ORD1082,2024-01-03,2024-01-08,CUST524,Tyrone Jones,Home Office,PROD4251,Notebook,Office Supplies,East,Pennsylvania,Whitestad,7,2408,5,16013.2,14350.69,1662.51,Cash,Delivered,"Ross, Welch and Williamson",reidtyler@melton-ray.info,30,No,0
ORD1083,2024-03-31,2024-04-04,CUST648,Robert Parker,Home Office,PROD1710,Office Chair,Furniture,South,Hawaii,Port Kaylamouth,1,3268,5,3104.6,2063.47,1041.13,Cash,Delivered,Mathews Inc,jamesgardner@rivera.org,35,No,0
ORD1084,2025-06-29,2025-07-03,CUST608,Patrick Freeman,Consumer,PROD6593,Sofa,Furniture,South,North Carolina,Lake Jeffburgh,2,3728,10,6710.4,4236.18,2474.22,Credit Card,Returned,"Moore, Potter and Collins",davispatricia@bass.com,14,No,0
ORD1085,2024-07-13,2024-07-15,CUST437,Mr. Aaron Ross,Consumer,PROD3548,Cooking Oil,Grocery,North,Alaska,West Joseph,1,680,20,544.0,414.25,129.75,UPI,Delivered,"Wagner, Mcmillan and Gaines",erika81@sanchez.com,28,No,0
ORD1086,2024-06-19,2024-06-24,CUST893,Dana Scott,Corporate,PROD7302,Cooking Oil,Grocery,East,Montana,New Sarafort,9,1847,0,16623.0,12681.56,3941.44,Credit Card,Cancelled,Zhang-Nunez,sylvia44@johnson.biz,14,No,0
ORD1087,2024-11-25,2024-11-30,CUST306,Timothy Martin,Consumer,PROD2261,Office Chair,Furniture,East,New York,North Kevinland,1,3231,15,2746.35,1895.63,850.72,Net Banking,Returned,"Perez, Snyder and Harvey",christina39@lopez.com,43,No,0
ORD1088,2025-02-20,2025-02-25,CUST572,Kathryn Shepard,Home Office,PROD8605,Pen,Office Supplies,South,North Dakota,Simpsonbury,8,546,10,3931.2,3354.6,576.6,Credit Card,Cancelled,Gonzalez-Larsen,christopherwood@clay.com,19,No,0
ORD1089,2024-08-29,2024-09-03,CUST311,Scott Rosario,Consumer,PROD1651,Laptop,Electronics,East,Louisiana,South Alyssa,5,3910,15,16617.5,12364.53,4252.97,Cash,Pending,Miller-Guerrero,jonesderek@perkins.biz,28,No,0
ORD1090,2025-12-11,2025-12-15,CUST613,Michelle Parks,Corporate,PROD5568,Monitor,Electronics,West,Kentucky,Ellentown,5,3260,15,13855.0,9497.17,4357.83,Credit Card,Pending,Richards-Farrell,kristenwashington@dean.com,10,No,0
ORD1091,2024-03-10,2024-03-11,CUST636,Mary Willis,Consumer,PROD8334,Calculator,Office Supplies,South,Vermont,South Shawnville,8,3818,5,29016.8,18525.56,10491.24,Net Banking,Cancelled,Taylor-Taylor,amy40@kim.com,49,No,0
ORD1092,2024-08-04,2024-08-08,CUST133,Jackie Gardner,Consumer,PROD6767,File Folder,Office Supplies,East,Hawaii,Harrischester,6,3132,0,18792.0,14532.56,4259.44,Credit Card,Cancelled,"Taylor, Hall and Cain",wagnerthomas@foster.info,24,No,0
ORD1093,2023-12-27,2024-01-01,CUST110,Albert Campbell,Consumer,PROD7790,Snacks,Grocery,South,Indiana,Bauershire,4,797,20,2550.4,2117.0,433.4,Credit Card,Pending,Sherman-Roy,monica64@morris.com,0,Yes,34
ORD1094,2024-10-31,2024-11-06,CUST927,Nicole Fox,Consumer,PROD7766,Laptop,Electronics,South,Wisconsin,Crawfordport,7,785,20,4396.0,3954.95,441.05,Net Banking,Delivered,"Carter, Gonzales and Gomez",stephen97@johnson.info,49,No,0
ORD1095,2024-12-21,2024-12-28,CUST522,Edward Brown,Home Office,PROD2932,Cooking Oil,Grocery,East,South Dakota,Delgadomouth,7,3751,5,24944.15,16876.94,8067.21,Net Banking,Pending,Lowery Ltd,robbinsanna@swanson-johnson.info,11,No,0
ORD1096,2024-08-26,2024-08-31,CUST919,Blake Irwin Jr.,Consumer,PROD9633,Dining Table,Furniture,West,Wisconsin,Mckeeside,9,4333,20,31197.6,25346.29,5851.31,Cash,Cancelled,Phillips Group,torresmartha@guerrero.com,43,No,0
ORD1097,2024-12-25,2024-12-27,CUST913,Noah Lara,Consumer,PROD1782,Monitor,Electronics,South,Arizona,Lake Richardland,2,4180,15,7106.0,4267.99,2838.01,Cash,Pending,Johnson Group,shannonfarrell@taylor.com,1,Yes,49
ORD1098,2025-04-02,2025-04-04,CUST541,Jennifer Griffin,Home Office,PROD4173,Pen,Office Supplies,North,Louisiana,Victoriastad,9,4188,15,32038.2,27867.14,4171.06,Cash,Delivered,Hines-Olsen,wweeks@cameron.biz,47,No,0
ORD1099,2025-01-25,2025-01-28,CUST922,Katherine Ramos,Corporate,PROD7098,Dining Table,Furniture,East,Minnesota,Hensleyview,1,3609,20,2887.2,1891.43,995.77,Net Banking,Returned,Porter-Whitaker,hreyes@garcia-ford.biz,47,No,0
ORD1100,2025-08-21,2025-08-27,CUST645,Victoria Clark,Corporate,PROD8256,Headphones,Electronics,East,Rhode Island,Lake Mary,1,3565,10,3208.5,2000.79,1207.71,UPI,Delivered,Ferguson PLC,perrywheeler@smith.com,41,No,0
ORD1101,2024-01-29,2024-02-01,CUST970,David Terry,Consumer,PROD3312,Pen,Office Supplies,South,Minnesota,Harrisview,6,2912,20,13977.6,10201.17,3776.43,Credit Card,Delivered,Smith-Blake,wgordon@duffy-gardner.com,6,Yes,20
ORD1102,2024-08-31,2024-09-06,CUST936,Judith Collier,Home Office,PROD5696,Sofa,Furniture,West,New Jersey,East Jenniferton,4,3033,10,10918.8,7102.07,3816.73,Net Banking,Returned,"Schwartz, White and Deleon",robinsondavid@mills.biz,26,No,0
ORD1103,2025-01-13,2025-01-18,CUST829,Catherine Romero,Consumer,PROD4701,Juice Pack,Grocery,North,North Dakota,Ashleyburgh,2,293,20,468.8,334.76,134.04,Cash,Pending,"Williams, Armstrong and Perez",alexismorris@hill-white.org,32,No,0
ORD1104,2024-04-21,2024-04-27,CUST265,James Freeman,Corporate,PROD6598,Dining Table,Furniture,East,Maryland,New Beth,1,4318,0,4318.0,3883.54,434.46,UPI,Pending,Weiss PLC,edwardfritz@pierce.com,26,No,0
